阅读词表
来源文件：chapter_15/chapter_15_clean.txt
检出条目数：100

序号	字/词	拼音	类型	简注	出现次数	原文词例
45	秬秠	jù pī	manual	两种黑黍；秠特指一壳含二米的黑黍。	1	恒之秬秠， 是获是亩。
46	穈芑	mén qǐ	manual	两种粟类嘉种；穈为赤苗谷类，芑为白苗谷类。	1	恒之穈芑， 是任是负， 以归肇祀。
47	肇	zhào	manual	开始；“肇祀”指开始举行祭祀。	2	恒之穈芑， 是任是负， 以归肇祀。
48	舂	chōng	manual	用杵臼捣谷去皮。	2	诞我祀如何， 或舂或揄， 或簸或蹂。
49	揄	yóu	manual	舂取谷物；诗中指舂米加工的一道工序。	1	诞我祀如何， 或舂或揄， 或簸或蹂。
50	簸	bǒ	manual	用簸箕扬去谷物糠秕。	2	诞我祀如何， 或舂或揄， 或簸或蹂。
51	蹂	róu	manual	搓揉谷物以帮助脱壳。	1	诞我祀如何， 或舂或揄， 或簸或蹂。
52	叟叟	sǒu sǒu	manual	淘米时发出的声音。	1	释之叟叟， 烝之浮浮。
53	烝	zhēng	manual	蒸煮，后作“蒸”。	1	释之叟叟， 烝之浮浮。
54	浮浮	fú fú	manual	蒸气上腾、香气充盈的样子。	1	释之叟叟， 烝之浮浮。
55	萧	xiāo	manual	香蒿，古代祭祀时用于助燃生香。	1	载谋载惟， 取萧祭脂。
56	羝	dī	manual	公羊；诗中作为祭品。	1	取羝以軷， 载燔载烈， 以兴嗣岁。
57	軷	bá	manual	出行前祭祀道路之神；“取羝以軷”指以公羊行軷祭。	1	取羝以軷， 载燔载烈， 以兴嗣岁。
58	燔	fán	manual	焚烧或烤炙祭品。	1	取羝以軷， 载燔载烈， 以兴嗣岁。
59	嗣岁	sì suì	manual	来年；“以兴嗣岁”指祈求下一年丰收。	1	取羝以軷， 载燔载烈， 以兴嗣岁。
60	卬	áng	manual	古代第一人称代词，相当于“我”。	1	卬盛于豆， 于豆于登， 其香始升。
61	豆	dòu	manual	古代盛放食物或祭品的高足器皿。	5	卬盛于豆， 于豆于登， 其香始升。
62	登	dēng	manual	古代盛放祭品的礼器。	2	卬盛于豆， 于豆于登， 其香始升。
63	臭	xiù	manual	气味；“胡臭亶时”中的“臭”读xiù。	1	上帝居歆， 胡臭亶时。
64	亶	dǎn	manual	诚然，确实。	4	上帝居歆， 胡臭亶时。
65	庶	shù	manual	庶几、但愿；“庶无罪悔”表示祈愿。	2	后稷肇祀， 庶无罪悔， 以迄于今。
66	迄	qì	manual	到、至；“以迄于今”即一直延续到如今。	3	后稷肇祀， 庶无罪悔， 以迄于今。
67	景	yǐng	manual	测量日影，通“影”；“既景乃冈”不是景色之景。	3	这也正是男性始祖领袖产生的背景：从母系家族诞生， 然后建立起自己的父系家族与国族。
68	姞	jí	manual	古姓氏用字；姞姓与姬姓通婚。	5	...， 需要按照父系家族的规则娶妻。他的妻子是个姞（jí）姓女子， 后世的周人也因此形成了一...
69	蕃	fán	manual	繁盛、繁衍；“其子孙必蕃”中的读音不是吐蕃之bō。	1	...人也因此形成了一种观念：“姬姞耦， 其子孙必蕃（fán；繁衍）。”意思是说， 姬姓和姞姓...
70	不窋	bù zhú	person	后稷之子；“窋”在此读zhú。	10	后稷卒， 子不窋（zhú）立。
71	公刘	gōng liú	person	周族先公；《公刘》叙述其率族人迁居豳地并开创基业。	15	古公亶父复修后稷、公刘之业， 积德行义， 国人皆戴之。
72	豳	bīn	place	周族先民迁居之地，古地名。	11	……乃与私属遂去豳（bīn）， 度漆、沮， 逾梁山， 止于岐下。
73	笃	dǔ	manual	忠厚、厚道；《公刘》章首用作对公刘的赞词。	7	笃公刘， 匪居匪康。
74	埸	yì	manual	田界；“乃埸乃疆”指划定田界和疆界。	1	乃埸乃疆， 乃积乃仓；
75	餱粮	hóu liáng	manual	供旅途食用的干粮。	1	乃裹餱粮， 于橐于囊。
76	橐	tuó	manual	无底而两端可束的袋子；诗中与“囊”并举。	1	乃裹餱粮， 于橐于囊。
77	辑	jí	manual	和睦、团结；“思辑用光”指谋求和睦以光大事业。	3	思辑用光， 弓矢斯张；
78	戚扬	qī yáng	manual	戚和扬，皆为斧钺一类的武器。	1	干戈戚扬， 爰方启行。
79	爰	yuán	manual	于是、就；《公刘》中多次作为古代虚词使用。	3	干戈戚扬， 爰方启行。
80	胥	xū	manual	察看；“于胥斯原”指察看这片原野。	1	笃公刘， 于胥斯原。
81	陟	zhì	manual	登高、登上。	2	陟则在巘， 复降在原。
82	巘	yǎn	manual	山峰、山顶；“陟则在巘”指登上高处察看。	1	陟则在巘， 复降在原。
83	舟之	zhōu zhī	manual	佩带在身；“何以舟之”古注训释存在分歧。	1	何以舟之？
84	鞞琫	bǐng běng	manual	刀鞘上的玉饰。	1	维玉及瑶， 鞞琫容刀。
85	溥	pǔ	manual	广大、广阔；诗中形容原野和疆域。	2	瞻彼溥原， 乃陟南冈。
86	觏	gòu	manual	看见、到达；“乃觏于京”指来到并看到京地。	1	乃觏于京， 京师之野。
87	跄跄济济	qiāng qiāng jǐ jǐ	manual	行列整齐、仪态庄重的样子。	1	跄跄济济， 俾筵俾几。
88	俾	bǐ	manual	使、让。	2	跄跄济济， 俾筵俾几。
89	筵	yán	manual	铺设的竹席；“俾筵”指安排宴席。	1	跄跄济济， 俾筵俾几。
90	曹	cáo	manual	群众、同伴；“乃造其曹”指来到众人中间。	1	既登乃依， 乃造其曹。
91	豕	shǐ	manual	猪；诗中指宴饮时宰杀的猪。	1	执豕于牢， 酌之用匏。
92	匏	páo	manual	葫芦制成的饮器。	1	执豕于牢， 酌之用匏。
93	三单	sān dān	manual	军队分成三组轮番服役。	1	其军三单， 度其隰原。
94	隰原	xí yuán	manual	低湿地和平原。	1	其军三单， 度其隰原。
95	彻田	chè tián	manual	划分、治理田地。	1	彻田为粮， 度其夕阳。
96	允荒	yǔn huāng	manual	确实广大；“允”意为确实。	1	豳居允荒。
97	厉	lì	manual	磨刀石；诗中与锻造用具并举。	4	涉渭为乱， 取厉取锻， 止基乃理。
98	芮鞫	ruì jū	manual	水湾内外或河流两岸，泛指水边可居之地。	1	止旅乃密， 芮鞫之即。
99	灰坑	huī kēng	concept	遗址中含灰土、废弃物或祭祀遗存的坑穴。	8	...， 小小的碾子坡却能发现三件， 且还出自不同的灰坑。这说明， 这里的人经常捕猎和食用野马，...
100	台玺	tái xǐ	person	《山海经》所载后稷之弟；“台”与“邰”相关。	9	...《山海经•大荒西经》记载说， 是后稷之弟台玺（xi3）的儿子叔均继承了后稷的农耕事...
