sequence,year,date_original,battle_title,battle_title_zh,state,cwsac,outcome,notes,category,source_url,source_url_zh
168,1863,"June 17, 1863",Battle of Aldie,,Virginia,C,Inconclusive,Indecisive battle during Robert E. Lee's march north.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Aldie,
169,1863,"June 17 –19, 1863",Battle of Middleburg,,Virginia,C,Inconclusive,J.E.B. Stuart retreats from engagement with Union cavalry.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Middleburg,
170,1863,"June 20 –21, 1863",Battle of LaFourche Crossing,,Louisiana,D,Union,"Confederates disengage, and fled to Thibodaux .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_LaFourche_Crossing,
171,1863,"June 21, 1863",Battle of Upperville,,Virginia,C,Inconclusive,Indecisive cavalry battle during Lee's invasion.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Upperville,
172,1863,"June 24 –26, 1863",Battle of Hoover's Gap,,Tennessee,C,Union,Union victory prevents Confederates in Tennessee from coming to the aid of Vicksburg.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hoover's_Gap,
173,1863,"June 28, 1863",Second Battle of Donaldsonville,,Louisiana,D,Union,Confederate forces failed to take Fort Butler.,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Donaldsonville,
174,1863,"June 29 –30, 1863",Battle of Goodrich's Landing,,Louisiana,D,Inconclusive,Confederates drive Union Black Regiments off of several plantations.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Goodrich's_Landing,
175,1863,"June 30, 1863",Battle of Hanover,,Pennsylvania,C,Inconclusive,"J.E.B. Stuart forced to change his route, delaying his efforts to unite with Lee's force outside Gettysburg.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hanover,
176,1863,"July 1 –2, 1863",Battle of Cabin Creek,,Oklahoma ( Indian Territory at the time),C,Union,James Monroe Williams forced Confederate forces to flee.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Cabin_Creek,
177,1863,"July 1 –3, 1863",Battle of Gettysburg,,Pennsylvania,A,Union,"Lee loses to Meade , Pickett's Charge fails, ends second invasion of North. Confederate army arrived in Gettysburg to resupply army, unaware of Union army nearby.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Gettysburg,
178,1863,"July 4, 1863",Battle of Helena,,Arkansas,B,Union,Confederate assault on river port fails securing eastern Arkansas for Union.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Helena,
179,1863,"July 6 –16, 1863",Battle of Williamsport,,Maryland,C,Inconclusive,Meade and Lee fight indecisive battle.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Williamsport,
180,1863,"July 8, 1863",Battle of Boonsboro,,Maryland,D,Inconclusive,Indecisive action at rearguard of Lee's retreat.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Boonsboro,
181,1863,"July 9, 1863",Battle of Corydon,,Indiana,C,Confederate,"Confederate raid results in civilian casualties, including a Lutheran minister.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Corydon,
182,1863,"July 11, 1863",Battle of Fort Wagner,,South Carolina,D,Confederate,first of two Union attempts to take Ft. Wagner.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Fort_Wagner,
183,1863,"July 12 –13, 1863",Battle of Kock's Plantation,,Louisiana,C,Confederate,"Union troops retreat to Fort Butler in Donaldsonville, seized during the Second Battle of Donaldsonville .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Kock's_Plantation,
184,1863,"July 16, 1863",Battle of Grimball's Landing,,South Carolina,D,Inconclusive,Union troops retreat from James Island.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Grimball's_Landing,
185,1863,"July 17, 1863",Battle of Honey Springs,,Oklahoma ( Indian Territory at the time),B,Union,"In Indian Territory, two largely Black and American Indian forces meet. Union victory.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Honey_Springs,
186,1863,"July 18, 1863","Second Battle of Fort Wagner (Battle of Fort Wagner, Morris Island)",,South Carolina,B,Confederate,"second of two Union attempts to take Ft. Wagner fails, heroism of the 54th Massachusetts .",CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Fort_Wagner,
187,1863,"July 19, 1863",Battle of Buffington Island,,Ohio,C,Union,Confederates captured after failing to find a secure retreat.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Buffington_Island,
188,1863,"July 23, 1863",Battle of Manassas Gap,,Virginia,D,Inconclusive,"Indecisive battle by day, Confederates withdraw by night.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Manassas_Gap,
189,1863,"July 24 –25, 1863",Battle of Big Mound,,North Dakota ( Dakota Territory at the time),C,Union,Dakota War of 1862 : Union forces defeat Santee and Teton Sioux forces.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Big_Mound,
190,1863,"July 26, 1863",Battle of Dead Buffalo Lake,,North Dakota ( Dakota Territory at the time),D,Union,Sioux Wars / Dakota War of 1862 : Sibley defeats Sioux forces.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Dead_Buffalo_Lake,
191,1863,"July 26, 1863",Battle of Salineville,,Ohio,D,Union,Confederate Brigadier General John Hunt Morgan surrenders in Ohio. The northernmost battle in the Civil War.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Salineville,
192,1863,"July 28, 1863",Battle of Stony Lake,,North Dakota ( Dakota Territory at the time),D,Union,Dakota War of 1862 : Sioux forces escape Union forces in pursuit.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Stony_Lake,
193,1863,"August 17 – September 9, 1863",Second Battle of Fort Sumter,,South Carolina,B,Confederate,Union's massive bombardment and naval attack fails to retake the fort.,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Fort_Sumter,
194,1863,"July 18 – September 7, 1863",Second Battle of Charleston Harbor,,South Carolina,B,Inconclusive,Fort Wagner falls to the Union; Confederates still hold Charleston and Fort Sumter.,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Charleston_Harbor,
195,1863,"August 21, 1863",Second Battle of Chattanooga,,Tennessee,D,Union,Union captures town.,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Chattanooga,
196,1863,"August 23, 1863",Lawrence Massacre (Quantrill's Raid),,Kansas,C,Confederate,Quantrill's Raiders pillage the city.,CWSAC-rated,https://en.wikipedia.org/wiki/Lawrence_Massacre,
197,1863,"September 1, 1863",Battle of Devil's Backbone,,Arkansas,C,Union,Union victory after heavy fighting.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Devil's_Backbone,
198,1863,"September 3 –5, 1863",Battle of Whitestone Hill,,North Dakota ( Dakota Territory at the time),D,Union,Sioux Wars / Dakota War of 1862 : Union forces defeat several American Indian tribes including the Sioux and Blackfeet.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Whitestone_Hill,
199,1863,"September 8, 1863",Second Battle of Sabine Pass,,Texas,B,Confederate,Confederate forces place stakes in river to help aim their guns at Union ships.,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Sabine_Pass,
200,1863,"September 10, 1863",Battle of Bayou Fourche,,Arkansas,B,Union,Union victory allows for capture of Little Rock .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Bayou_Fourche,
201,1863,"September 10 –11, 1863",Battle of Davis's Cross Roads,,Georgia,C,Union,Union forces establish defensive positions prior to Chickamauga.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Davis's_Cross_Roads,
202,1863,"September 19 –20, 1863",Battle of Chickamauga,,Georgia,A,Confederate,"Bragg defeats Rosecrans, George Thomas of US anointed ""The Rock of Chickamauga""",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Chickamauga,
203,1863,"September 22, 1863",Battle of Blountville (Battle of Blountsville),,Tennessee,D,Union,Union forces capture town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Blountville,
204,1863,"September 29, 1863",Battle of Stirling's Plantation,,Louisiana,C,Confederate,Federal troops surrendered after being encircled by cavalry dressed as Union soldiers.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Stirling's_Plantation,
205,1863,"October 6, 1863",Battle of Baxter Springs,,Kansas,C,Confederate,Quantrill's Raiders massacre Union Black Troops during U.S. Civil War.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Baxter_Springs,
206,1863,"October 10, 1863",Battle of Blue Springs,,Tennessee,D,Union,Confederate forces overrun.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Blue_Springs,
207,1863,"October 13, 1863",First Battle of Auburn,,Virginia,D,Union,J.E.B. Stuart escapes by hiding in a ravine.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Auburn,
208,1863,"October 14, 1863",Battle of Bristoe Station,,Virginia,B,Union,"Meade defeats elements of Lee's forces, but Confederates destroy railroad during retreat.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Bristoe_Station,
209,1863,"October 14, 1863",Second Battle of Auburn,,Virginia,D,Inconclusive,"Confederates attack Union rearguard, indecisive.",CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Auburn,
210,1863,"October 16 –18, 1863",Battle of Fort Brooke,,Florida,D,Union,"Union troops raided the Jean Street Shipyard burning two notorious blockade runners, and disrupting exports.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Brooke,
211,1863,"October 19, 1863",Battle of Buckland Mills,,Virginia,D,Confederate,"Union cavalry caught in ambush, defeated.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Buckland_Mills,
212,1863,"October 25, 1863",Battle of Pine Bluff,,Arkansas,D,Union,Confederate attack fails.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Pine_Bluff,
213,1863,"October 28 –29, 1863",Battle of Wauhatchie,,Tennessee,B,Union,Longstreet defeated by Union forces.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Wauhatchie,
214,1863,"November 3, 1863",Battle of Collierville,,Tennessee,D,Union,Abortive Confederate attack on the town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Collierville,
215,1863,"November 6, 1863",Battle of Droop Mountain,,West Virginia,B,Union,Union troops forced Confederate forces to retreat to Lewisburg.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Droop_Mountain,
216,1863,"November 7, 1863",Second Battle of Rappahannock Station,,Virginia,B,Union,"Union forces surge across river, forcing Lee to retreat.",CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Rappahannock_Station,
217,1863,"November 16, 1863",Battle of Campbell's Station,,Tennessee,D,Union,Confederate double-envelopment attempt fails.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Campbell's_Station,
218,1863,"November 24 , 1863",Battle of Lookout Mountain,,Tennessee,A,Union,"Joseph Hooker takes Lookout Mountain in the ""Battle Above the Clouds"". Note: combined with the Battle of Missionary Ridge as Chattanooga III in the CWSAC report.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Lookout_Mountain,
219,1863,"November 25 , 1863",Battle of Missionary Ridge,,Tennessee,A,Union,Grant routs Braxton Bragg 's army ending the siege of Union forces in Chattanooga. Note: combined with the Battle of Lookout Mountain as Chattanooga III in the CWSAC report.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Missionary_Ridge,
220,1863,"November 27 – December 2, 1863",Battle of Mine Run,,Virginia,B,Inconclusive,Meade bombards Lee's Confederates but then withdraws.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Mine_Run,
221,1863,"November 27, 1863",Battle of Ringgold Gap,,Georgia,B,Confederate,Confederates under Patrick Cleburne defeat Union forces under Joseph Hooker .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Ringgold_Gap,
222,1863,"November 29, 1863",Battle of Fort Sanders,,Tennessee,B,Union,Longstreet unable to take fort due to poor quality gunpowder.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Sanders,
223,1863,"December 14, 1863",Battle of Bean's Station,,Tennessee,D,Confederate,Union forces withdraw a short distance.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Bean's_Station,
224,1863,"December 29, 1863",Battle of Mossy Creek,,Tennessee,D,Union,Confederate cavalry forced back.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Mossy_Creek,
423,1863,"February 3 – April 12, 1863",Yazoo Pass Expedition,,Mississippi,,Confederate,Elaborate amphibious Union flanking maneuver is thwarted by Confederates at Fort Pemberton during the Vicksburg campaign.,Other USA/CSA,https://en.wikipedia.org/wiki/Yazoo_Pass_Expedition,
425,1863,"April 30, 1863",Battle of Day's Gap,,Alabama,,Confederate,Nathan Bedford Forrest and Union Col. Abel Streight fight Cavalry action for several hours.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Day's_Gap,
426,1863,"June 27, 1863",Battle of Portland Harbor,,Maine,,Union,Naval engagement.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Portland_Harbor,
427,1863,"June 30, 1863",Battle of Sporting Hill,,Pennsylvania,,Inconclusive,Small skirmish during the Gettysburg Campaign was the northernmost engagement of Robert E. Lee's Army of Northern Virginia during the Civil War.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Sporting_Hill,
428,1863,"July 1, 1863",Battle of Carlisle,,Pennsylvania,,Inconclusive,"Small, but strategically important skirmish during the Gettysburg Campaign.",Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Carlisle,
429,1863,"July 2, 1863",Battle of Hunterstown,,Pennsylvania,,Inconclusive,Minor cavalry engagement during the Gettysburg Campaign,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Hunterstown,
430,1863,"July 3, 1863",Battle of Fairfield,,Pennsylvania,,Confederate,Cavalry engagement during the Gettysburg Campaign secured the important Hagerstown Road.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Fairfield,
431,1863,"July 4, 1863",Battle of Tebbs Bend,,Kentucky,,Union,Union infantry defeats Confederate cavalry.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Tebbs_Bend,
432,1863,"July 4 -5, 1863",Fight at Monterey Pass,,Pennsylvania,,Union,Cavalry under Union General Judson Kilpatrick attacked Confederate forces retreating from Gettysburg.,Other USA/CSA,https://en.wikipedia.org/wiki/Fight_at_Monterey_Pass,
433,1863,"July 5 –25, 1863",Jackson Expedition,,Mississippi,,Union,Forces under General William T. Sherman clear General Joseph E. Johnston's relief effort from the Vicksburg area.,Other USA/CSA,https://en.wikipedia.org/wiki/Jackson_Expedition,
434,1863,"July 10, 1863",Battle of Funkstown,,Maryland,,Inconclusive,Action during Lee's retreat to Virginia after the Battle of Gettysburg.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Funkstown,
435,1863,"July 13 –16, 1863",Draft Riots,,New York,,N/A,"The Draft Riots caused a strain on the Union army, and vast amounts of corruption within the draft began to spread from New York to the frontlines.",Other USA/CSA,https://en.wikipedia.org/wiki/Draft_Riots,
436,1863,"July 18, 1863",Wytheville Raid,,Virginia,,Union,Action by mounted forces under Union Colonel John Toland,Other USA/CSA,https://en.wikipedia.org/wiki/Wytheville_Raid,
437,1863,"August 21, 1863","Skirmish near Brooklyn, Kansas",,Kansas,,Inconclusive,Union forces pursue Quantrill's Raiders after the Lawrence Massacre .,Other USA/CSA,"https://en.wikipedia.org/wiki/Skirmish_near_Brooklyn,_Kansas",
438,1863,"August 26 –27, 1863",Battle of White Sulphur Springs,,West Virginia,,Confederate,A confederate brigade halts a Union cavalry raid,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_White_Sulphur_Springs,
439,1863,"August 27, 1863",Battle of Bayou Meto (Battle of Reed's Bridge),,Arkansas,,Confederate,Confederate forces delay the Union advance on Little Rock.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Bayou_Meto,
440,1863,"October 21, 1863",Battle of Cherokee Station,,Alabama,,Union,Confederates suffered heavy losses and retreated after an hour long musket battle.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Cherokee_Station,
441,1863,"October 10, 1863",Battle of James City,,Virginia,,Confederate,Opening of the Bristoe campaign,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_James_City,
442,1863,"October 27, 1863",Battle of Brown's Ferry,,Tennessee,,Union,"Union forces open the ""Cracker Line"" , a supply line to Chattanooga through Brown's Ferry.",Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Brown's_Ferry,
443,1863,"November 3, 1863",Battle of Bayou Bourbeux,,Louisiana,,Confederate,Confederate District of Western Louisiana troops attack the isolated rear guard during Union withdrawal from Opelousas.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Bayou_Bourbeux,
444,1863,"November 6, 1863",Battle of Rogersville,,Tennessee,,Confederate,"Confederate forces under Brig Gen ""Grumble"" Jones captures 775 prisoners of the 2nd East Tennessee (Union) Infantry Regiment and the 7th Ohio Cavalry.",Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Rogersville,
