阅读词表
来源文件：intro/intro_clean.txt
检出条目数：79

序号	字/词	拼音	类型	简注	出现次数	原文词例
67	玛雅	mǎ yǎ	site_or_culture	中美洲古代文明。	4	...阿兹特克的人祭记录， 可以识别中美洲更古老的玛雅文明中的人祭现象， 虽然规模要比阿兹特克...
68	角斗士	jué dòu shì	concept	古罗马竞技表演中的搏斗者。	1	...克、玛雅共有的文化基因并不多。古罗马的角斗士产业存在于公元前2世纪到公元4世纪，...
69	人文主义	rén wén zhǔ yì	concept	以人和现实生活为中心的思想立场。	1	...但周人并未开创一种新的宗教， 而是采用世俗的人文主义立场， 与极端宗教行为保持距离， 不允...
70	卦爻辞	guà yáo cí	text	《易经》中解释卦、爻的辞句。	1	...周文王创作的《易经》， 也就是所谓六十四卦的卦爻辞。文王周昌曾经在殷都生活， 亲历过...
71	周昌	zhōu chāng	person	周文王之名。	2	...经》， 也就是所谓六十四卦的卦爻辞。文王周昌曾经在殷都生活， 亲历过商王和商人民间的...
72	含章	hán zhāng	text	《易经》坤卦爻辞，文中据高亨释为“翦商”。	3	《易经》的《坤》卦六三爻曰：“含章可贞。
73	可贞	kě zhēn	text	可通过占卜预测或问卜。	2	《易经》的《坤》卦六三爻曰：“含章可贞。
74	高亨	gāo hēng	person	文史学者，文中引用其对《易经》的解释。	1	...含章可贞。或从王事， 无成有终。”据文史大家高亨先生考证，“含章”就是“翦商”二字， 所...
75	翦商	jiǎn shāng	text	剪除商朝，文中为全书核心主题。	3	...。”据文史大家高亨先生考证，“含章”就是“翦商”二字， 所以“含章可贞”的意思是：“翦...
76	酋邦	qiú bāng	concept	介于部落和国家之间的复杂社会组织。	1	这个阶段， 吉迪称之为“早期国家”或“复杂酋邦”。
77	奠基	diàn jī	concept	建筑开始时的基础仪式或基础施工。	2	一， 把人夯筑在地基内， 用作建筑物的奠基， 可称之为“人奠基”。
78	人奠基	rén diàn jī	concept	将人夯筑在地基内作为建筑奠基祭祀。	1	一， 把人夯筑在地基内， 用作建筑物的奠基， 可称之为“人奠基”。
79	巫术	wū shù	concept	借助神秘仪式影响现实的信仰行为。	1	...神， 用以交换神对建筑物的护佑， 以及通过施展巫术， 被杀者可能也会变成守护建筑之鬼。...
