term,pinyin,type,annotation
嵤,yíng,person,秦康公之名。
魏雠馀,wèi chóu yú,person,晋人，奉命诈降秦国以迎回随会。
详反,yáng fǎn,rare_word,假装反叛；“详”通“佯”。
棫林,yù lín,place,古地名，在泾水附近。
谮,zèn,rare_word,进谗言诬陷别人。
阖闾,hé lǘ,person,春秋末期吴王。
伍子胥,wǔ zǐ xū,person,春秋时吴国重臣，名员。
堑河旁,qiàn hé páng,concept,在黄河旁开挖壕沟。
黼黻,fǔ fú,artifact,古代礼服上的黑白、青黑花纹，亦代指礼服。
公孙痤,gōng sūn cuó,person,战国时期魏国将领。
未遑,wèi huáng,rare_word,没有闲暇、来不及。
獂王,yuán wáng,person,西戎部族首领。
胙,zuò,artifact,祭祀后的肉；天子赐胙表示礼遇。
耕稼,gēng jià,rare_word,耕田种植。
冀阙,jì quē,artifact,宫门外高大的门阙。
阡陌,qiān mò,concept,田间南北、东西道路，泛指田界。
黥,qíng,concept,在脸上刺字涂墨的刑罚。
傅师,fù shī,concept,辅导太子的师傅。
车裂,chē liè,concept,以车分裂肢体的酷刑。
徇秦国,xùn qín guó,rare_word,在秦国示众；徇，巡行展示。
初腊,chū là,concept,秦国开始举行腊祭。
啮桑,niè sāng,place,战国时期会盟地点。
樗里疾,chū lǐ jí,person,秦惠文王异母弟，秦国名臣。
屈丐,qū gài,person,战国时期楚国将领。
绝膑,jué bìn,rare_word,折断膝盖骨；膑，膝盖骨。
芈氏,mǐ shì,person,楚国王族姓氏；宣太后姓芈。
蜀侯煇,shǔ hóu huī,person,秦所封蜀侯，后反秦。
唐眛,táng mò,person,战国时期楚国将领。
穰侯,ráng hóu,person,魏冉的封号，秦昭襄王时权臣。
伊阙,yī quē,place,古关隘，在今河南洛阳南。
公子悝,gōng zǐ kuī,person,秦昭襄王弟，封于邓。
阏与,yù yǔ,place,战国古邑，秦赵阏与之战所在地。
薨,hōng,rare_word,古代诸侯或高级贵族去世。
五大夫贲,wǔ dà fū bēn,person,秦国将领；贲读 bēn。
王龁,wáng hé,person,秦昭襄王时期将领。
摎,jiū,person,秦昭襄王时期将军。
顿首,dùn shǒu,concept,以头叩地的礼节，表示敬畏请罪。
弛苑囿,chí yuàn yòu,rare_word,开放或放宽皇家园林禁令。
蒙骜,méng ào,person,秦庄襄王、秦始皇时期将领。
菟裘,tú qiú,place,古国或古邑名，亦为氏族名。
