阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_practices/practice/shiji/shiji_qin_benji/qin_benji_clean.txt
检出条目数：109

序号	字/词	拼音	简注	出现次数	原文词例
69	金鼓	jīn gǔ	古代赏赐或军礼所用的金属乐器与鼓。	1	天子使召公过贺缪公以金鼓。
70	嵤	yíng	秦康公之名。	1	”缪公子四十人，其太子嵤代立，是为康公。
71	魏雠馀	wèi chóu yú	晋人，奉命诈降秦国以迎回随会。	1	晋人患随会在秦为乱，乃使魏雠馀详反，合谋会，诈而得会，会遂归晋。
72	详反	yáng fǎn	假装反叛；“详”通“佯”。	1	晋人患随会在秦为乱，乃使魏雠馀详反，合谋会，诈而得会，会遂归晋。
73	棫林	yù lín	古地名，在泾水附近。	1	秦军走，晋兵追之，遂渡泾，至棫林而还。
74	谮	zèn	进谗言诬陷别人。	1	景公母弟后子针有宠，景公母弟富，或谮之，恐诛，乃奔晋，车重千乘。
75	伍子胥	wǔ zǐ xū	春秋时吴国重臣，名员。	2	伍子胥奔吴。
76	阖闾	hé lǘ	春秋末期吴王。	1	三十一年，吴王阖闾与伍子胥伐楚，楚王亡奔随，吴遂入郢。
77	堑河旁	qiàn hé páng	在黄河旁开挖壕沟。	1	十六年，堑河旁。
78	黼黻	fǔ fú	古代礼服上的黑白、青黑花纹，亦代指礼服。	1	二十一年，与晋战于石门，斩首六万，天子贺以黼黻。
79	公孙痤	gōng sūn cuó	战国时期魏国将领。	1	二十三年，与魏晋战少梁，虏其将公孙痤。
80	未遑	wèi huáng	没有闲暇、来不及。	1	……厉、躁、简公、出子之不宁，国家内忧，未遑外事，三晋攻夺我先君河西地，诸侯……
81	獂王	yuán wáng	西戎部族首领。	1	”于是乃出兵东围陕城，西斩戎之獂王。
82	胙	zuò	祭祀后的肉；天子赐胙表示礼遇。	2	二年，天子致胙。
83	耕稼	gēng jià	耕田种植。	1	三年，卫鞅说孝公变法修刑，内务耕稼，外劝战死之赏罚，孝公善之。
84	冀阙	jì quē	宫门外高大的门阙。	1	十二年，作为咸阳，筑冀阙，秦徙都之。
85	阡陌	qiān mò	田间南北、东西道路，泛指田界。	1	为田开阡陌。
86	黥	qíng	在脸上刺字涂墨的刑罚。	2	太子不可黥，黥其傅师。
87	傅师	fù shī	辅导太子的师傅。	1	太子不可黥，黥其傅师。
88	车裂	chē liè	以车分裂肢体的酷刑。	1	及孝公卒，太子立，宗室多怨鞅，鞅亡，因以为反，而卒车裂以徇秦国。
89	徇秦国	xùn qín guó	在秦国示众；徇，巡行展示。	1	及孝公卒，太子立，宗室多怨鞅，鞅亡，因以为反，而卒车裂以徇秦国。
90	初腊	chū là	秦国开始举行腊祭。	1	十二年，初腊。
91	啮桑	niè sāng	战国时期会盟地点。	1	二年，张仪与齐、楚大臣会啮桑。
92	樗里疾	chū lǐ jí	秦惠文王异母弟，秦国名臣。	3	十一年，樗里疾攻魏焦，降之。
93	屈丐	qū gài	战国时期楚国将领。	1	十三年，庶长章击楚于丹阳，虏其将屈丐，斩首八万；
94	绝膑	jué bìn	折断膝盖骨；膑，膝盖骨。	1	王与孟说举鼎，绝膑。
95	芈氏	mǐ shì	楚国王族姓氏；宣太后姓芈。	1	昭襄母楚人，姓芈氏，号宣太后。
96	蜀侯煇	shǔ hóu huī	秦所封蜀侯，后反秦。	1	六年，蜀侯煇反，司马错定蜀。
97	唐眛	táng mò	战国时期楚国将领。	1	齐使章子，魏使公孙喜，韩使暴鸢共攻楚方城，取唐眛。
98	穰侯	ráng hóu	魏冉的封号，秦昭襄王时权臣。	4	十二年，楼缓免，穰侯魏冉为相。
99	伊阙	yī quē	古关隘，在今河南洛阳南。	2	十四年，左更白起攻韩、魏于伊阙，斩首二十四万，虏公孙喜，拔五城。
100	公子悝	gōng zǐ kuī	秦昭襄王弟，封于邓。	1	冉免，封公子市宛，公子悝邓，魏冉陶，为诸侯。
101	阏与	yù yǔ	战国古邑，秦赵阏与之战所在地。	1	三十八年，中更胡阳攻赵阏与，不能取。
102	薨	hōng	古代诸侯或高级贵族去世。	1	十月，宣太后薨，葬芷阳郦山。
103	五大夫贲	wǔ dà fū bēn	秦国将领；贲读 bēn。	1	四十五年，五大夫贲攻韩，取十城。
104	王龁	wáng hé	秦昭襄王时期将领。	3	王龁将伐赵武安、皮牢，拔之。
105	摎	jiū	秦昭襄王时期将军。	3	五十一年，将军摎攻韩，取阳城、负黍，斩首四万。
106	顿首	dùn shǒu	以头叩地的礼节，表示敬畏请罪。	1	西周君走来自归，顿首受罪，尽献其邑三十六城，口三万。
107	弛苑囿	chí yuàn yòu	开放或放宽皇家园林禁令。	1	孝文王元年，赦罪人，修先王功臣，褒厚亲戚，弛苑囿。
108	蒙骜	méng ào	秦庄襄王、秦始皇时期将领。	4	使蒙骜伐韩，韩献成皋、巩。
109	菟裘	tú qiú	古国或古邑名，亦为氏族名。	1	……有徐氏、郯氏、莒氏、终黎氏、运奄氏、菟裘氏、将梁氏、黄氏、江氏、修鱼氏、……
