unit_id,level,chapter,section,title,printed_start,pdf_start,title_source,page_source,notes
chapter_09_section_03,section,9,3,“围剿”和反“围剿”,504,512,scanned_toc,scanned_toc,
chapter_09_section_04,section,9,4,第一轮论战小结,531,539,scanned_toc,scanned_toc,
chapter_10,chapter,10,,两条总路线,542,550,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_10_section_01,section,10,1,菊香书屋的评论,542,550,scanned_toc,scanned_toc,
chapter_10_section_02,section,10,2,京、杭之间的酝酿,552,560,scanned_toc,scanned_toc,
chapter_10_section_03,section,10,3,征求兄弟党意见,568,576,scanned_toc,scanned_toc,
chapter_10_section_04,section,10,4,关于总路线的《建议》的要点,579,587,scanned_toc,scanned_toc,
chapter_11,chapter,11,,中苏两党会谈,593,601,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_11_section_01,section,11,1,会谈前夕的“声明战”,593,601,scanned_toc,scanned_toc,
chapter_11_section_02,section,11,2,列宁山上短兵相接,601,609,scanned_toc,scanned_toc,
chapter_11_section_03,section,11,3,苏共《公开信》出笼与联美反华,610,618,scanned_toc,scanned_toc,
chapter_11_section_04,section,11,4,破裂的边缘,623,631,scanned_toc,scanned_toc,
chapter_12,chapter,12,,公开大论战,631,639,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_12_section_01,section,12,1,公开论战新阶段,631,639,scanned_toc,scanned_toc,
chapter_12_section_02,section,12,2,评苏共中央《公开信》,637,645,scanned_toc,scanned_toc,
chapter_12_section_03,section,12,3,为什么苏共要“停战”,655,663,scanned_toc,scanned_toc,
chapter_12_section_04,section,12,4,同兄弟党商量,666,674,scanned_toc,scanned_toc,
chapter_12_section_05,section,12,5,针锋相对的答复,681,689,scanned_toc,scanned_toc,
chapter_13,chapter,13,,难为的调停,688,696,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_13_section_01,section,13,1,路经莫斯科,688,696,scanned_toc,scanned_toc,
chapter_13_section_02,section,13,2,中罗会谈既激烈又友好,699,707,scanned_toc,scanned_toc,
chapter_13_section_03,section,13,3,毛主席亦庄亦谐,712,720,scanned_toc,scanned_toc,
chapter_14,chapter,14,,新的反华运动,724,732,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_14_section_01,section,14,1,“坚决反击”的预谋,724,732,scanned_toc,scanned_toc,
chapter_14_section_02,section,14,2,用“拖”的办法推迟分裂,733,741,scanned_toc,scanned_toc,
chapter_14_section_03,section,14,3,给赫鲁晓夫祝寿,740,748,scanned_toc,scanned_toc,
chapter_14_section_04,section,14,4,苏共反华文件出笼,754,762,scanned_toc,scanned_toc,
chapter_15,chapter,15,,形势急转直下,777,785,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_15_section_01,section,15,1,《九评》的彻底揭露,777,785,scanned_toc,scanned_toc,
chapter_15_section_02,section,15,2,急于采取“集体措施”,792,800,scanned_toc,scanned_toc,
chapter_15_section_03,section,15,3,赫鲁晓夫孤注一掷,808,816,scanned_toc,scanned_toc,
chapter_15_section_04,section,15,4,山雨欲来风满楼,814,822,scanned_toc,scanned_toc,
chapter_16,chapter,16,,赫鲁晓夫下台,829,837,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_16_section_01,section,16,1,初步分析,829,837,scanned_toc,scanned_toc,
chapter_16_section_02,section,16,2,从“一肯二看”到“一推二看”,841,849,scanned_toc,scanned_toc,
chapter_16_section_03,section,16,3,在莫斯科的观察,855,863,scanned_toc,scanned_toc,
chapter_16_section_04,section,16,4,抗议攻势,862,870,scanned_toc,scanned_toc,
chapter_16_section_05,section,16,5,商定对策,878,886,scanned_toc,scanned_toc,
chapter_16_section_06,section,16,6,种种看法,898,906,scanned_toc,scanned_toc,
chapter_17,chapter,17,,走向分而不裂,908,916,programthink_google_doc,scanned_toc,"Clean chapter title from programthink/books Google Doc."
chapter_17_section_01,section,17,1,置之不理,908,916,scanned_toc,scanned_toc,
chapter_17_section_02,section,17,2,最后告诫,913,921,scanned_toc,scanned_toc,
chapter_17_section_03,section,17,3,不成样子的分裂会议,921,929,scanned_toc,scanned_toc,
chapter_17_section_04,section,17,4,不参加苏共“23大”,933,941,scanned_toc,scanned_toc,
