sequence,year,date_original,battle_title,battle_title_zh,state,cwsac,outcome,notes,category,source_url,source_url_zh
46,1862,"March 6 –8, 1862",Battle of Pea Ridge or Elkhorn Tavern,,Arkansas,A,Union,Union victory by Samuel Ryan Curtis over Earl Van Dorn ensured continued Union control of Missouri.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Pea_Ridge,
47,1862,"March 8 –9, 1862",Battle of Hampton Roads,,Virginia,B,Inconclusive,"USS Monitor battles CSS Virginia , battle ends in a draw.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hampton_Roads,
48,1862,"March 14, 1862",Battle of New Bern,,North Carolina,B,Union,Union troops disembark from ships and capture the town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_New_Bern_(1862),
49,1862,"March 23, 1862",First Battle of Kernstown,,Virginia,B,Union,"Union forces defeat Confederates under ""Stonewall"" Jackson.",CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Kernstown,
50,1862,"March 23 – April 26, 1862",Battle of Fort Macon,,North Carolina,C,Union,Confederate fort surrenders after Union artillery bombardment.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Macon,
51,1862,"March 26 –28, 1862",Battle of Glorieta Pass,,New Mexico ( New Mexico Territory at the time),A,Union,"Tactical draw. Union strategic victory. Dubbed the ""Gettysburg of the West"".",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Glorieta_Pass,
52,1862,"April 5 – May 4, 1862",Siege of Yorktown (1862) (Battle of Yorktown),,Virginia,B,Inconclusive,Confederate army slips away after four week siege near site of decisive Revolutionary War battle.,CWSAC-rated,https://en.wikipedia.org/wiki/Siege_of_Yorktown_(1862),
53,1862,"April 6 –7, 1862",Battle of Shiloh or Pittsburg Landing,,Tennessee,A,Union,Grant and reinforcements under Buell repulse Albert Sidney Johnston and P. G. T. Beauregard . A.S. Johnston is killed.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Shiloh,
54,1862,"April 10 –11, 1862",Battle of Fort Pulaski,,Georgia,B,Union,"Union blockade closes Savannah, Georgia. Parrott rifle makes masonry forts obsolete.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Pulaski,
55,1862,"April 18 –28, 1862",Battle of Forts Jackson and St. Philip,,Louisiana,A,Union,Decisive battle for possession of New Orleans.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Forts_Jackson_and_St._Philip,
56,1862,"April 19, 1862",Battle of South Mills,,North Carolina,D,Inconclusive,Confederates thwart attempt to destroy a canal.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_South_Mills,
57,1862,"April 25 – May 1, 1862",Capture of New Orleans,,Louisiana,B,Union,Union forces capture city.,CWSAC-rated,https://en.wikipedia.org/wiki/Capture_of_New_Orleans,
58,1862,"April 29 – May 30, 1862",Siege of Corinth,,Mississippi,A,Union,"Union forces capture town, Beauregard tricks Union in order to escape to Tupelo .",CWSAC-rated,https://en.wikipedia.org/wiki/Siege_of_Corinth,
59,1862,"May 5, 1862",Battle of Williamsburg,,Virginia,B,Inconclusive,McClellan and Longstreet fight inconclusive battle.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Williamsburg,
60,1862,"May 7, 1862",Battle of Eltham's Landing,,Virginia,D,Inconclusive,Inconclusive Civil War battle in Virginia.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Eltham's_Landing,
61,1862,"May 8, 1862",Battle of McDowell,,Virginia,C,Confederate,Stonewall Jackson's Confederates defeat Union forces.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_McDowell,
62,1862,"May 15, 1862",Battle of Drewry's Bluff,,Virginia,B,Confederate,Union naval attack repelled by Confederate artillery.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Drewry's_Bluff,
63,1862,"May 15 –17, 1862",Battle of Princeton Court House,,West Virginia (Virginia at the time) [ A ],C,Confederate,Jacob Dolson Cox withdrew after attempting to take control of the East Tennessee and Virginian Railroad.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Princeton_Court_House,
64,1862,"May 23, 1862",Battle of Front Royal,,Virginia,C,Confederate,"Stonewall Jackson threatens the Union rear, forces their retreat.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Front_Royal,
65,1862,"May 25, 1862",First Battle of Winchester,,Virginia,A,Confederate,Stonewall Jackson defeats Nathaniel P. Banks .,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Winchester,
66,1862,"May 27, 1862",Battle of Hanover Court House,,Virginia,C,Union,Union victory during U.S. Civil War.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hanover_Court_House,
67,1862,"May 31 – June 1, 1862",Battle of Seven Pines,,Virginia,B,Inconclusive,"J.E. Johnston attacks Union forces, wounded, inconclusive",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Seven_Pines,
68,1862,"June 5, 1862",Battle of Tranter's Creek,,North Carolina,D,Union,Confederate forces retreat after Colonel Singletary is killed.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Tranter's_Creek,
69,1862,"June 6, 1862",First Battle of Memphis,,Tennessee,B,Union,Union forces capture the city.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Memphis,
70,1862,"June 7 –8, 1862",First Battle of Chattanooga,,Tennessee,D,Union,Union forces bombard the town.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Chattanooga,
71,1862,"June 8, 1862",Battle of Cross Keys,,Virginia,B,Confederate,John C. Fremont defeated by elements of Stonewall Jackson's force.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cross_Keys,
72,1862,"June 9, 1862",Battle of Port Republic,,Virginia,B,Confederate,Costly victory for Stonewall Jackson.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Port_Republic,
73,1862,"June 16, 1862",Battle of Secessionville,,South Carolina,B,Confederate,"Union repulsed, Union commander later court-martialed for disobeying orders.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Secessionville,
74,1862,"June 17, 1862",Battle of Saint Charles,,Arkansas,C,Union,The USS Mound City is hit by Confederate shore gun and explodes.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_St._Charles,
75,1862,"June 21, 1862",Battle of Simmon's Bluff,,South Carolina,D,Union,Union forces raze a campsite; Confederates flee.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Simmon's_Bluff,
76,1862,"June 25, 1862",Battle of Oak Grove,,Virginia,D,Inconclusive,( Seven Days Battles ) Indecisive battle between McClellan and Lee.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Oak_Grove,
77,1862,"June 26, 1862",Battle of Beaver Dam Creek or Mechanicsville,,Virginia,B,Union,(Seven Days) Robert E. Lee defeated.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Beaver_Dam_Creek,
78,1862,"June 27, 1862",Battle of Gaines' Mill or Chickahominy River,,Virginia,A,Confederate,(Seven Days) Lee defeats McClellan.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Gaines'_Mill,
79,1862,"June 27 –28, 1862",Battle of Garnett's & Golding's Farm,,Virginia,D,Inconclusive,(Seven Days) Indecisive battle between Lee and McClellan.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Garnett's_&_Golding's_Farm,
80,1862,"June 29, 1862",Battle of Savage's Station,,Virginia,C,Inconclusive,(Seven Days) Union forces withdraw.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Savage's_Station,
81,1862,"June 30 – July 1, 1862",Battle of Tampa,,Florida,D,Confederate,"Union gunboat attacks, but later withdraws.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Tampa,
82,1862,"June 30, 1862",Battle of Glendale,,Virginia,B,Inconclusive,(Seven Days) McClellan retreats from Lee's Confederates.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Glendale,
83,1862,"June 30, 1862",Battle of White Oak Swamp,,Virginia,C,Inconclusive,(Seven Days) Indecisive artillery duel.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_White_Oak_Swamp,
84,1862,"July 1, 1862",Battle of Malvern Hill,,Virginia,A,Union,(Seven Days) McClellan defeats Lee but withdraws after battle.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Malvern_Hill,
85,1862,"July 7, 1862",Battle of Cotton Plant (Battle of Hill's Plantation),,Arkansas,D,Union,Union victory in Arkansas.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cotton_Plant,
86,1862,"July 13, 1862",First Battle of Murfreesboro,,Tennessee,C,Confederate,"Confederates disrupted Union supply lines, and tore up railroad track. Union forces going to Chattanooga are divided.",CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Murfreesboro,
87,1862,"August 5, 1862",Battle of Baton Rouge,,Louisiana,B,Union,Union troops repulse attempt to recapture Baton Rouge.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Baton_Rouge_(1862),
88,1862,"August 6 –9, 1862",Battle of Kirksville,,Missouri,D,Union,Union forces capture town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Kirksville,
89,1862,"August 9, 1862",First Battle of Donaldsonville,,Louisiana,D,Union,Union Navy bombarded Donaldsonville with no resistance.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Donaldsonville,
90,1862,"August 9, 1862",Battle of Cedar Mountain,,Virginia,B,Confederate,Union forces repelled by Confederate counter-attack.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cedar_Mountain,
91,1862,"August 11, 1862",First Battle of Independence,,Missouri,D,Confederate,Confederate victory near Kansas City .,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Independence,
92,1862,"August 15 –16, 1862",Battle of Lone Jack,,Missouri,D,Confederate,"Confederate victory, Union commander killed. Rebels forced to withdraw after battle.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Lone_Jack,
93,1862,"August 21 –22, 1862",Battle of Fort Ridgely,,Minnesota,C,Union,Dakota War of 1862 : Failed Santee Sioux attack on Union controlled fort.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Ridgely,
94,1862,"August 22 –25, 1862",First Battle of Rappahannock Station,,Virginia,D,Inconclusive,Union supplies destroyed during skirmish.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Rappahannock_Station,
95,1862,"August 25 –27, 1862",Battle of Manassas Station Ops.,,Virginia,B,Confederate,Jackson turns into Pope's rear area; destroys Manassas Station.,CWSAC-rated,https://en.wikipedia.org/wiki/Manassas_Station_Operations_(Stonewall_Jackson),
96,1862,"August 28 –30, 1862",Second Battle of Bull Run or Second Manassas,,Virginia,A,Confederate,Lee defeats Pope's Army of Virginia,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Bull_Run,
97,1862,"August 28, 1862",Battle of Thoroughfare Gap,,Virginia,C,Confederate,Longstreet defeats small Union force to arrive at Manassas battlefield.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Thoroughfare_Gap,
98,1862,"August 30, 1862",Battle of Richmond (Kentucky),,Kentucky,B,Confederate,"Edmund Kirby Smith routs Union army under Brig. Gen. William ""Bull"" Nelson .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Richmond,
99,1862,"September 1, 1862",Battle of Chantilly or Ox Hill,,Virginia,B,Inconclusive,"Union forces nearly being cut off, Isaac Stevens and Philip Kearny are killed.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Chantilly,
100,1862,"September 12 –15, 1862",Battle of Harpers Ferry,,West Virginia (Virginia at the time) [ A ],B,Confederate,Stonewall Jackson captures Union garrison under Dixon S. Miles,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Harpers_Ferry,
101,1862,"September 14 –17, 1862",Battle of Munfordville,,Kentucky,B,Confederate,Union force surrenders.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Munfordville,
102,1862,"September 14, 1862",Battle of South Mountain or Boonsboro,,Maryland,B,Union,McClellan defeats Lee.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_South_Mountain,
103,1862,"September 17, 1862",Battle of Antietam or Sharpsburg,,Maryland,A,Union,"McClellan ends Lee's first invasion of North, bloodiest single day of the war.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Antietam,
104,1862,"September 19 –20, 1862",Battle of Shepherdstown,,West Virginia (Virginia at the time) [ A ],C,Confederate,Confederate brigades counterattack and defeat pursuing Union brigades.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Shepherdstown,
105,1862,"September 19, 1862",Battle of Iuka,,Mississippi,C,Union,Rosecrans is victorious over Price near Mississippi town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Iuka,
106,1862,"September 23, 1862",Battle of Wood Lake,,Minnesota,C,Union,Dakota War of 1862 : Overwhelming defeat of Santee Sioux forces during the Dakota War of 1862.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Wood_Lake,
107,1862,"September 24, 1862",First Battle of Sabine Pass,,Texas,C,Union,Union Navy successfully bombards an established Confederate fort.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Sabine_Pass,
108,1862,"September 30, 1862",First Battle of Newtonia,,Missouri,C,Confederate,Union forces panic under bombardment from Confederate artillery.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Newtonia,
109,1862,"October 1 –3, 1862",Battle of Saint John's Bluff,,Florida,D,Union,Union troops seize a Confederate Battery.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Saint_John's_Bluff,
110,1862,"October 3 –4, 1862",Second Battle of Corinth (Battle of Corinth),,Mississippi,B,Union,Confederate attack fails.,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Corinth,
111,1862,"October 4, 1862",Battle of Galveston Harbor (1862) (First Battle of Galveston),,Texas,D,Union,Galveston is taken by the Union forces after Confederates evacuate following a truce.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Galveston_Harbor_(1862),
112,1862,"October 5, 1862",Battle of Hatchie Bridge,,Tennessee,C,Inconclusive,Confederate force under Earl Van Dorn escapes across river.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hatchie_Bridge,
113,1862,"October 8, 1862",Battle of Perryville or Chaplin Hills,,Kentucky,A,Inconclusive,Tactical indecisive battle that ended Bragg's Kentucky campaign.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Perryville,
114,1862,"October 22, 1862",Battle of Old Fort Wayne,,Oklahoma ( Indian Territory at the time),D,Union,"Confederate forces go into Full retreat under Douglas H. Cooper , with the Union gaining control of the Indian territory.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Old_Fort_Wayne,
115,1862,"October 27, 1862",Battle of Georgia Landing,,Louisiana,C,Union,Confederate forces fled to Labadieville.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Georgia_Landing,
116,1862,"November 7, 1862",Battle of Clark's Mill,,Missouri,D,Confederate,Union force surrenders to larger Confederate force.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Clark's_Mill,
117,1862,"November 28, 1862",Battle of Cane Hill,,Arkansas,C,Confederate,Small Confederate force delays Union while larger force escapes.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cane_Hill,
118,1862,"December 7, 1862",Battle of Prairie Grove,,Arkansas,B,Union,Union secures NW Arkansas.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Prairie_Grove,
119,1862,"December 7, 1862",Battle of Hartsville,,Tennessee,C,Confederate,"Disguised in Union uniforms, Confederates infiltrate and defeat Union forces.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hartsville,
120,1862,"December 13, 1862",Battle of Fredericksburg,,Virginia,A,Confederate,Lee beats back repeated frontal assaults by Burnside.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fredericksburg,
121,1862,"December 14, 1862",Battle of Kinston,,North Carolina,D,Union,Union forces under John G. Foster defeat Confederates under Nathan Evans .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Kinston,
122,1862,"December 16, 1862",Battle of White Hall,,North Carolina,D,Inconclusive,Foster fights indecisive battle with Beverly Robertson .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_White_Hall,
123,1862,"December 17, 1862",Battle of Goldsborough Bridge,,North Carolina,C,Union,Foster defeats Confederates and destroys the bridge.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Goldsborough_Bridge,
124,1862,"December 19, 1862","Battle of Jackson, Tennessee",,Tennessee,D,Union,Confederate feint to distract Union forces.,CWSAC-rated,"https://en.wikipedia.org/wiki/Battle_of_Jackson,_Tennessee",
125,1862,"December 26 –29, 1862",Battle of Chickasaw Bayou,,Mississippi,B,Confederate,( Vicksburg Campaign ) Pemberton defeats Sherman; Union attack on Confederate right flank thwarted.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Chickasaw_Bayou,
126,1862,"December 31, 1862",Battle of Parker's Cross Roads,,Tennessee,C,Confederate,Confederates repel Union double-pronged assault.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Parker's_Cross_Roads,
127,1862,"December 31, 1862 – January 2, 1863",Battle of Stones River (Second Battle of Murfreesboro),,Tennessee,A,Union,"Bragg forced to withdraw after losing 11,739 men.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Stones_River,
128,1863,"January 1, 1863",Battle of Galveston (Second Battle of Galveston),,Texas,B,Confederate,"John B. Magruder expels occupying Union troops from Galveston, Texas .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Galveston,
