sequence,year,date_original,battle_title,battle_title_zh,state,cwsac,outcome,notes,category,source_url,source_url_zh
395,1861,"August 5, 1861",Battle of Athens,,Missouri / Iowa,,Union,Union victory in small skirmish on the Iowa-Missouri border,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Athens_(1861),
396,1861,"August 19, 1861",Battle of Charleston (1861) (Missouri),,Missouri,,Union,Union force destroys Confederate camp.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Charleston_(1861),
397,1861,"September 11, 1861",Battle of Lewinsville,,Virginia,,Inconclusive,Minor battle between Confederates under J. E. B. Stuart and Union troops under McClellan in Fairfax County,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Lewinsville,
398,1861,"September 24 –25, 1861",Battle of Canada Alamosa,,New Mexico ( New Mexico Territory at the time),,Confederate,One of several small cavalry skirmishes in Confederate Arizona near the border with Union New Mexico Territory .,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Canada_Alamosa,
399,1861,"October 5, 1861",Battle of Cockle Creek,,Virginia,,Union,Confederate smuggling up the Chincoteague Bay ends.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Cockle_Creek,
400,1861,"October 12, 1861",Battle of the Head of Passes,,Louisiana,,Confederate,Naval forces square-off at the mouth of the Mississippi River.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_the_Head_of_Passes,
401,1861,"November 3 –7, 1861",Battle of Port Royal,,South Carolina,,Union,"Union fleet under S. F. Du Pont capture Confederate forts at Hilton Head, South Carolina.",Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Port_Royal,
402,1861,"December 19, 1861",Skirmish at Blackwater Creek,,Missouri,,Union,Union forces under General Pope capture a newly recruited Missouri State Guard regiment.,Other USA/CSA,https://en.wikipedia.org/wiki/Skirmish_at_Blackwater_Creek,
403,1861,"December 28, 1861",Battle of Sacramento,,Kentucky,,Confederate,Nathan Bedford Forrest's first victory. The Federals are surprised and quickly routed.,Other USA/CSA,https://en.wikipedia.org/wiki/Battle_of_Sacramento_(Kentucky),
470,1861,August 1861,Siege of Tubac,,Arizona ( New Mexico Territory at the time),,Apache victory. Confederate militia and townspeople flee to Tucson.,,American Indian Wars,https://en.wikipedia.org/wiki/Siege_of_Tubac,
