term,pinyin,type,annotation
酋邦,qiú bāng,concept,介于部落和国家之间的复杂社会组织。
族邑,zú yì,concept,以部族为单位聚居形成的城邑或聚落。
宗教革命,zōng jiào gé mìng,concept,文中指商王室祭祀观念和方式的剧烈变化。
宗教改革,zōng jiào gǎi gé,concept,文中指试图以埋藏器物替代杀人杀牲的祭祀变革。
埋祭改革,mái jì gǎi gé,concept,文中指用埋藏青铜器等器物替代杀牲杀人的改革尝试。
铜器窖藏坑,tóng qì jiào cáng kēng,artifact,集中埋藏青铜器的坑穴。
窖藏,jiào cáng,concept,将器物埋藏于地下的行为或遗迹。
铜鼎,tóng dǐng,bronze_item,青铜鼎，古代炊煮或礼仪重器。
铜礼器,tóng lǐ qì,bronze_item,用于礼仪或祭祀的青铜器。
乳钉纹,rǔ dīng wén,artifact,青铜器上乳突状装饰纹样。
夔龙纹,kuí lóng wén,artifact,青铜器常见的夔龙形纹饰。
兽面饕餮纹,shòu miàn tāo tiè wén,artifact,青铜器常见兽面纹样。
神人兽面纹,shén rén shòu miàn wén,artifact,良渚玉器上的神人和兽面复合纹样。
筒形器,tǒng xíng qì,artifact,筒状陶器，文中涉及屈家岭文化祭祀。
陶塑,táo sù,artifact,陶制塑像或小动物、人偶等。
朱砂,zhū shā,rare_word,红色矿物颜料，古代常用于礼仪。
饕餮,tāo tiè,rare_word,古代传说中的贪食猛兽名，常用于青铜纹饰名称。
夔,kuí,added,古代传说中的一足神兽或龙形怪物。
龛,kān,rare_word,供奉或安置物品的小空间；文中指祭祀坑壁上的壁龛。
壁龛,bì kān,added,墙壁或坑壁上凿出的供放置物品的小龛。
头盖骨,tóu gài gǔ,concept,颅骨顶部，文中涉及加工成碗状器物。
颅骨,lú gǔ,concept,头骨，包围脑部的骨骼。
眼眶,yǎn kuàng,rare_word,眼球所在的骨性空间。
下颌骨,xià hé gǔ,concept,下颌部骨骼。
骨臼,gǔ jiù,concept,骨骼关节窝，文中指肢骨两端结构。
股骨,gǔ gǔ,concept,大腿骨。
盆骨,pén gǔ,concept,骨盆，文中作“零碎盆骨”。
颈椎,jǐng zhuī,concept,颈部脊椎骨。
肱骨,gōng gǔ,concept,上臂骨。
肋骨,lèi gǔ,concept,胸部骨骼。
肢解,zhī jiě,concept,将肢体切割分解。
腰斩,yāo zhǎn,concept,从腰部斩断，古代酷刑或杀戮方式。
反剪,fǎn jiǎn,concept,把双手反绑在背后。
捆绑,kǔn bǎng,concept,用绳索等束缚身体。
俯身屈膝,fǔ shēn qū xī,concept,身体前俯、膝部弯曲的姿势。
凿孔,záo kǒng,concept,用工具凿出的孔。
穿孔,chuān kǒng,concept,贯穿形成孔洞，文中多指颅骨创口。
锐器,ruì qì,concept,带尖刃或锋利边缘的器物。
钝器,dùn qì,concept,无锋刃但可打击致伤的器物。
铜戈,tóng gē,bronze_item,青铜戈，古代横刃长柄兵器。
铜凿,tóng záo,bronze_item,青铜凿，文中推测为可能造成穿孔的工具或兵器。
铜镞,tóng zú,bronze_item,青铜箭头。
青铜方框形构件,qīng tóng fāng kuàng xíng gòu jiàn,bronze_item,小双桥出土的方框形青铜构件。
龙虎搏象图,lóng hǔ bó xiàng tú,artifact,青铜构件上的龙、虎与象搏斗图案。
孔雀石,kǒng què shí,artifact,含铜矿物，古代冶铜原料之一。
熔铜炉,róng tóng lú,artifact,熔化铜料的炉具。
原始瓷,yuán shǐ cí,artifact,早期高温釉陶或瓷器形态。
绿松石,lǜ sōng shí,artifact,蓝绿色矿物，古代常作装饰嵌片。
骨簪,gǔ zān,artifact,骨制发簪。
玉簪,yù zān,artifact,玉制发簪。
骨匕,gǔ bǐ,artifact,骨制匕形器。
蚌刀,bàng dāo,artifact,蚌壳制成的刀形工具。
陶炊器,táo chuī qì,artifact,陶制炊煮器具。
鬲,lì,artifact,古代炊器，袋状足。
瓮,wèng,artifact,大腹陶器，可作盛器。
簋,guǐ,bronze_item,古代盛食器，青铜礼器之一。
樽,zūn,bronze_item,古代酒器或盛器。
卣,yǒu,bronze_item,古代盛酒器。
觚,gū,bronze_item,古代饮酒器。
爵,jué,bronze_item,古代酒器，也作礼器。
斝,jiǎ,bronze_item,古代酒器，三足，有柱。
盉,hé,bronze_item,古代调酒或盛水器。
铙,náo,bronze_item,古代青铜乐器。
钺,yuè,bronze_item,古代大型斧形兵器或礼器。
璋,zhāng,artifact,古代玉器名。
璧,bì,artifact,圆形中孔玉器。
卜骨,bǔ gǔ,text,用于占卜并刻写文字的兽骨。
浮选,fú xuǎn,concept,考古中用水分离土样里的植物种子等细小遗存的方法。
粟,sù,rare_word,古代重要旱作粮食，通常指小米。
黍,shǔ,rare_word,古代旱作粮食作物。
隞,áo,place,商代都城，在今河南荥阳市北、敖山南。
莪,é,rare_word,莪蒿；亦见于人名“刘士莪”。
