阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_hub3e22/practice/liaozhai_stories/laoshan_daoshi/laoshan_daoshi.txt
检出条目数：80

序号	字/词	拼音	简注	出现次数	原文词例
23	共酌	gòng zhuó	一起饮酒。	1	一夕归，见二人与师共酌，日已暮，尚无灯烛。
24	翦	jiǎn	同“剪”。	1	师乃翦纸如镜，黏壁间。
25	俄顷	é qǐng	一会儿。	1	俄顷，月明辉室，光鉴毫芒。
26	光鉴毫芒	guāng jiàn háo máng	光亮到细小毫毛都能照见。	1	俄顷，月明辉室，光鉴毫芒。
27	良宵	liáng xiāo	美好的夜晚。	1	一客曰：“良宵胜乐，不可不同。
28	分赉	fēn lài	分赏、赐予。	1	”乃于案上取壶酒，分赉诸徒，且嘱尽醉。
29	盎盂	àng yú	盛酒食的器皿。	1	遂各觅盎盂，竞饮先釂，惟恐樽尽。
30	釂	jiào	饮尽杯中酒。	1	遂各觅盎盂，竞饮先釂，惟恐樽尽。
31	樽	zūn	酒器。	1	遂各觅盎盂，竞饮先釂，惟恐樽尽。
32	挹注	yì zhù	舀取倾注。	1	而往复挹注，竟不少减。
33	嫦娥	cháng é	月宫仙女。	1	俄一客曰：“蒙赐月明之照，乃尔寂饮，何不呼嫦娥来？
34	箸	zhù	筷子。	2	”乃以箸掷月中，见一美人，自光中出，初不盈尺，至地，遂与人等。
35	盈尺	yíng chǐ	满一尺。	1	”乃以箸掷月中，见一美人，自光中出，初不盈尺，至地，遂与人等。
36	纤腰	xiān yāo	细腰。	1	纤腰秀项，翩翩作《霓裳舞》。
37	秀项	xiù xiàng	秀美的颈项。	1	纤腰秀项，翩翩作《霓裳舞》。
38	翩翩	piān piān	轻快飘逸的样子。	1	纤腰秀项，翩翩作《霓裳舞》。
39	霓裳	ní cháng	《霓裳羽衣舞》的省称。	1	纤腰秀项，翩翩作《霓裳舞》。
40	清越	qīng yuè	声音清脆高扬。	1	”其声清越，烈如箫管。
41	箫管	xiāo guǎn	箫笛一类乐器。	1	”其声清越，烈如箫管。
42	盘旋	pán xuán	回旋。	1	歌毕，盘旋而起，跃登几上，惊顾之间，已复为箸。
43	不胜酒力	bù shèng jiǔ lì	承受不住酒力。	1	又一客曰：“今宵最乐，然不胜酒力矣。
44	饯	jiàn	设酒食送行。	1	其饯我于月宫可乎？
45	须眉	xū méi	胡须和眉毛。	1	众视三人，坐月中饮，须眉毕见，如影之在镜中。
46	移时	yí shí	过了一段时间。	1	移时，月渐暗。
47	杳	yǎo	不见踪影。	1	门人然烛来，则道士独坐而客杳矣。
48	肴核	yáo hé	菜肴和果品。	1	几上肴核尚存，壁上月，纸圆如镜而已。
49	樵苏	qiáo sū	砍柴割草；泛指劳作。	1	”“足宜早寝，勿误樵苏。
50	忻慕	xīn mù	喜悦羡慕。	1	王窃忻慕，归念遂息。
51	归念	guī niàn	回家的念头。	1	王窃忻慕，归念遂息。
52	受业	shòu yè	从师学习。	1	……教一术。心不能待，辞曰：“弟子数百里受业仙师，纵不能得长生术，或小有传习……
53	传习	chuán xí	传授学习。	1	……百里受业仙师，纵不能得长生术，或小有传习，亦可慰求教之心。今阅两三月，不……
54	谙	ān	熟悉、知道。	1	弟子在家，未谙此苦。
55	遣	qiǎn	打发、送走。	2	明早当遣汝行。
56	诀	jué	口诀、法诀。	1	乃传以诀，令自咒毕，呼曰：“入之！
57	咒	zhòu	念咒语。	1	乃传以诀，令自咒毕，呼曰：“入之！
58	从容	cóng róng	不慌不忙。	1	”王果从容入，及墙而阻。
59	俯首	fǔ shǒu	低头。	1	道士曰：“俯首骤入，勿逡巡！
60	骤入	zhòu rù	快速进入。	1	道士曰：“俯首骤入，勿逡巡！
61	逡巡	qūn xún	迟疑徘徊。	1	道士曰：“俯首骤入，勿逡巡！
62	洁持	jié chí	保持清白操守。	1	道士曰：“归宜洁持，否则不验。
63	资斧	zī fǔ	旅费、盘缠。	1	”遂助资斧遣之归。
64	自诩	zì xǔ	自夸。	1	抵家，自诩遇仙，坚壁所不能阻。
65	坚壁	jiān bì	坚固的墙壁。	1	抵家，自诩遇仙，坚壁所不能阻。
66	蓦然	mò rán	忽然。	1	王效其作为，去墙数尺，奔而入，头触硬壁，蓦然而踣。
67	踣	bó	跌倒。	1	王效其作为，去墙数尺，奔而入，头触硬壁，蓦然而踣。
68	坟起	fén qǐ	隆起、肿起。	1	妻扶视之，额上坟起，如巨卵焉。
69	揶揄	yé yú	嘲笑、戏弄。	1	妻揶揄之。
70	惭忿	cán fèn	惭愧而愤怒。	1	王惭忿，骂老道士之无良而已。
71	异史氏	yì shǐ shì	蒲松龄在《聊斋志异》中的自称。	1	异史氏曰：闻此事未有不大笑者，而不知世之为王生者，正复不少。
72	伧父	cāng fǔ	粗鄙之人。	1	……，而不知世之为王生者，正复不少。今有伧父，喜疢毒而畏药石，遂有舐痈吮痔者……
73	疢毒	chèn dú	病害毒物；比喻有害之物。	1	……世之为王生者，正复不少。今有伧父，喜疢毒而畏药石，遂有舐痈吮痔者，进宣威……
74	药石	yào shí	药物和砭石；泛指治病之物。	1	……生者，正复不少。今有伧父，喜疢毒而畏药石，遂有舐痈吮痔者，进宣威逞暴之术……
75	舐痈吮痔	shì yōng shǔn zhì	比喻卑劣逢迎。	1	……不少。今有伧父，喜疢毒而畏药石，遂有舐痈吮痔者，进宣威逞暴之术，以迎其旨……
76	宣威逞暴	xuān wēi chěng bào	炫耀威势、逞弄暴力。	1	……，喜疢毒而畏药石，遂有舐痈吮痔者，进宣威逞暴之术，以迎其旨，诒之曰：“执……
77	诒	yí	欺骗；也作“贻”。	1	……痈吮痔者，进宣威逞暴之术，以迎其旨，诒之曰：“执此术也以往，可以横行而无……
78	无碍	wú ài	没有阻碍。	1	……，诒之曰：“执此术也以往，可以横行而无碍。”初试未尝不小效，遂谓天下之大……
79	小效	xiǎo xiào	小的效果。	1	……也以往，可以横行而无碍。”初试未尝不小效，遂谓天下之大，举可以如是行矣，……
80	颠蹶	diān jué	跌倒；也比喻失败受挫。	1	……之大，举可以如是行矣，势不至触硬壁而颠蹶不止也。
