sequence,part,slug,title,focus,english_url,chinese_url,chinese_start,chinese_end,keywords
23,Part II — Political Economy,22_capital_surplus_value_conclusion,Part II · Chapter VIII — Capital and Surplus-Value (Conclusion),"Capital accumulation, profit, rent, and historical categories",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch20.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,八、资本和剩余价值,九、经济的自然规律。地租,"资本 剩余价值 续完;积累;利润"
24,Part II — Political Economy,23_natural_laws_rent,Part II · Chapter IX — Natural Laws of the Economy · Rent of Land,"Economic laws, landed property, and rent",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch21.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,九、经济的自然规律。地租,十、《批判史》论述,"经济自然规律 地租;土地所有权;政治经济学"
25,Part II — Political Economy,24_critical_history,Part II · Chapter X — From Critical History,"The history of economic thought and Marx's critical contribution",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch22.htm,https://www.marxists.org/chinese/marx-engels/20/004.htm,十、《批判史》论述,,"批判史;经济思想史;马克思"
26,Part III — Socialism,25_historical,Part III · Chapter I — Historical,"The historical development of socialist ideas",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch23.htm,https://www.marxists.org/chinese/marx-engels/20/005.htm,一、历史,二、理论,"社会主义 历史;空想社会主义;发展"
27,Part III — Socialism,26_theoretical,Part III · Chapter II — Theoretical,"Historical materialism, capitalist contradictions, and social ownership",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch24.htm,https://www.marxists.org/chinese/marx-engels/20/005.htm,二、理论,三、生产,"社会主义 理论;历史唯物主义;社会所有制"
28,Part III — Socialism,27_production,Part III · Chapter III — Production,"Social production, planning, labour, and freedom",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch25.htm,https://www.marxists.org/chinese/marx-engels/20/005.htm,三、生产,四、分配,"社会主义 生产;计划;劳动"
29,Part III — Socialism,28_distribution,Part III · Chapter IV — Distribution,"Distribution, equality, value, and social organization",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch26.htm,https://www.marxists.org/chinese/marx-engels/20/005.htm,四、分配,五、国家，家庭，教育,"社会主义 分配;平等;价值"
30,Part III — Socialism,29_state_family_education,Part III · Chapter V — State Family Education,"The state, family, education, and the transition beyond class society",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ch27.htm,https://www.marxists.org/chinese/marx-engels/20/005.htm,五、国家，家庭，教育,,"国家 家庭 教育;阶级社会;社会主义"
31,Supplementary Material,30_collected_works_notes,Notes from Marx-Engels Collected Works,"Editorial and historical notes to the complete work",https://www.marxists.org/archive/marx/works/1877/anti-duhring/footnotes.htm,,,,"反杜林论 编者注;马克思恩格斯全集 注释"
32,Supplementary Material,31_engels_notes,Notes by Engels,"Engels's notes associated with Anti-Dühring",https://www.marxists.org/archive/marx/works/1877/anti-duhring/notes.htm,,,,"反杜林论 恩格斯 注释"
33,Supplementary Material,32_fragment_ireland,Fragment on Ireland,"A supplementary fragment concerning Ireland",https://www.marxists.org/archive/marx/works/1877/anti-duhring/ireland.htm,,,,"恩格斯 爱尔兰 片断;反杜林论"
34,Supplementary Material,33_fragment_thomas_more,Fragment on Thomas More,"A supplementary fragment concerning Thomas More",https://www.marxists.org/archive/marx/works/1877/anti-duhring/thomas-more.htm,,,,"恩格斯 托马斯 莫尔 片断;反杜林论"
