阅读词表
来源文件：/Users/ruixingshi/Python/automate_study_practices/practice/shiji/shiji_lisheng_lujia/lisheng_lujia_clean.txt
检出条目数：59

序号	字/词	拼音	简注	出现次数	原文词例
19	释耒	shì lěi	放下耒耜，指农民停止耕作。	1	……久相持不决，百姓骚动，海内摇荡，农夫释耒，工女下机，天下之心未有所定也。……
20	大行	tài háng	即太行山；古书常写作“大行”。	2	……收取荥阳，据敖仓之粟，塞成皋之险，杜大行之道，距蜚狐之口，守白马之津〔1……
21	蜚狐	fēi hú	即飞狐口，古代险要通道。	2	……敖仓之粟，塞成皋之险，杜大行之道，距蜚狐之口，守白马之津〔1〕，以示诸侯……
22	东籓	dōng fān	东方藩属；“籓”同“藩”。	1	臣请得奉明诏说齐王，使为汉而称东籓。
23	戮力	lù lì	合力、并力。	1	”曰：“汉王与项王戮力西面击秦，约先入咸阳者王之。
24	方船	fāng chuán	两船相并；文中形容船只成队而下。	1	诸侯之兵四面而至，蜀汉之粟方船而下。
25	刓	wán	削磨；文中指把印章摩挲把玩而迟迟不授。	1	为人刻印，刓而不能授；
26	井陉	jǐng xíng	太行山重要古关隘，在今河北井陉。	1	下井陉，诛成安君；
27	伏轼	fú shì	俯身靠着车前横木，指乘车奔走游说。	1	淮阴侯闻郦生伏轼下齐七十馀城，乃夜度兵平原袭齐。
28	亨	pēng	同“烹”；文中指以鼎烹杀。	2	不然，我将亨汝！
29	黥布	qíng bù	即英布，因受黥刑而得名。	4	汉十二年，曲周侯郦商以丞相将兵击黥布有功。
30	弃市	qì shì	古代在闹市执行死刑并陈尸示众。	1	元狩元年中，武遂侯平坐诈诏衡山王取百斤金，当弃市，病死，国除也。
31	尉他	wèi tuó	即赵佗；“尉”是姓，旧本文中“佗”亦作“他”。	8	及高祖时，中国初定，尉他平南越，因王之。
32	魋结	zhuī jì	同“椎髻”，把头发束成椎形发髻。	1	陆生至，尉他魋结箕倨见陆生。
33	箕倨	jī jù	两腿张开如簸箕而坐，表示轻慢无礼。	1	陆生至，尉他魋结箕倨见陆生。
34	剖符	pōu fú	剖分符契，古代帝王封授诸侯、功臣的凭证。	1	……百姓新劳苦，故且休之，遣臣授君王印，剖符通使。君王宜郊迎，北面称臣，乃欲……
35	膏腴	gāo yú	土地肥沃；也指富饶地区。	1	……。中国之人以亿计，地方万里，居天下之膏腴，人众车轝，万物殷富，政由一家，……
36	车轝	chē yú	车辆；“轝”同“舆”。	1	……以亿计，地方万里，居天下之膏腴，人众车轝，万物殷富，政由一家，自天地剖泮……
37	剖泮	pōu pàn	开辟、分开；“泮”同“判”。	1	……人众车轝，万物殷富，政由一家，自天地剖泮未始有也。今王众不过数十万，皆蛮……
38	橐中装	tuó zhōng zhuāng	袋中财物，泛指出使所得资财。	2	”赐陆生橐中装直千金，他送亦千金。
39	乃公	nǎi gōng	你老子、你父亲；汉代口语中的自称。	1	高帝骂之曰：“乃公居马上而得之，安事诗书！
40	不怿	bù yì	不高兴。	1	……仁义，法先圣，陛下安得而有之？”高帝不怿而有惭色，乃谓陆生曰：“试为我著……
41	好畤	hào zhì	汉代县名，在今陕西乾县附近。	1	以好畤田地善，可以家焉。
42	安车驷马	ān chē sì mǎ	一车套四马，古代舒适而体面的车驾。	1	……，分其子，子二百金，令为生产。陆生常安车驷马，从歌舞鼓琴瑟侍者十人，宝剑……
43	慁	hùn	打扰、烦扰。	1	一岁中往来过他客，率不过再三过，数见不鲜，无久慁公为也。
44	燕居	yàn jū	闲居、退朝后在家休息。	1	右丞相陈平患之，力不能争，恐祸及己，常燕居深念。
45	绛侯	jiàng hóu	周勃的封号。	3	臣常欲谓太尉绛侯，绛侯与我戏，易吾言。
46	交驩	jiāo huān	结交欢好；“驩”同“欢”。	1	君何不交驩太尉，深相结？
47	藉甚	jí shèn	声名盛大，远近皆知。	1	陆生以此游汉廷公卿间，名声藉甚。
48	称制	chēng zhì	代行皇帝职权，以皇帝名义发布命令。	1	……生为太中大夫，往使尉他，令尉他去黄屋称制，令比诸侯，皆如意旨。语在南越语……
49	硃建	zhū jiàn	平原君朱建；“硃”为“朱”的异体写法。	1	平原君硃建者，楚人也。
50	发丧	fā sāng	办理并公布丧事。	2	平原君家贫，未有以发丧，方假贷服具，陆生令平原君发丧。
51	假贷	jiǎ dài	借贷。	1	平原君家贫，未有以发丧，方假贷服具，陆生令平原君发丧。
52	闳籍孺	hóng jí rú	汉惠帝宠臣。	2	”乃求见孝惠幸臣闳籍孺，说之曰：“君所以得幸帝，天下莫不闻。
53	肉袒	ròu tǎn	脱去上衣露出身体，古代表示请罪或谢罪。	1	何不肉袒为辟阳侯言於帝？
54	自刭	zì jǐng	割颈自杀。	1	”遂自刭。
55	踵军门	zhǒng jūn mén	亲自来到军营门前；“踵”有到、至义。	1	……匈奴中。

初，沛公引兵过陈留，郦生踵军门上谒曰：“高阳贱民郦食其，窃闻……
56	瞋目	chēn mù	瞪大眼睛，表示愤怒。	1	”郦生瞋目案剑叱使者曰：“走！
57	遽雪足	jù xuě zú	赶紧擦净双脚；“遽”为急速，“雪”为拭除。	1	”沛公遽雪足杖矛曰：“延客入！
58	婴城	yīng chéng	环城固守；婴，环绕。	1	今独为亡秦婴城而坚守，臣窃为足下危之。
59	慑怖	shè bù	畏惧恐慌。	1	陆贾使越，尉佗慑怖，相说国安，书成主悟。
