term,pinyin,type,annotation
役使,yì shǐ,rare_word,驱使人或动物做事。
图腾,tú téng,concept,族群崇拜并作为象征的动物、植物或自然物。
河姆渡文化,hé mǔ dù wén huà,site_or_culture,长江下游新石器时代文化。
少嗥氏,shào hào shì,person_or_deity,古史传说中的东部族群始祖。
合祭,hé jì,concept,把多位祖先或神灵合在一起祭祀。
掌故,zhǎng gù,concept,历史故事、典故。
献祭,xiàn jì,concept,把祭品奉献给神灵或祖先。
豢养,huàn yǎng,rare_word,饲养、供养。
禁忌,jìn jì,concept,宗教或习俗中被禁止、避讳的事物。
帝字头,dì zì tóu,concept,文中指甲骨文字形中带有神圣意味的构件。
合文,hé wén,concept,两个或多个字合写成一个字形。
匪夷所思,fěi yí suǒ sī,idiom,超出常理，难以想象。
鲶鱼,nián yú,rare_word,常见淡水鱼，头部宽扁并有触须。
託,tuō,rare_word,同“托”，文中指寄身、依附。
兕,sì,rare_word,古代兽名，文中释为水牛。
胲,hǎi,rare_word,古人名用字；文中另讨论是否应读作“亥”（hài）。
郯,tán,place,古国名，在今山东郯城一带。
少皞氏,shào hào shì,person_or_deity,即少昊氏，古史传说中的东部族群始祖。
帝喾,dì kù,person_or_deity,古史传说中的帝王。
杼,zhù,manual,织布机上的梭子；亦为夏代帝王名。
